employee_id,satisfaction_level,last_evaluation_score,number_of_projects,average_monthly_hours,years_spent_at_company,work_accident,left_company,promotion_in_last_5years,department,salary,salary_range
30,0.38,0.5,2,132,3,0,1,0,accounting,low,"Less than $45,000"
31,0.09,0.62,6,294,4,0,1,0,accounting,low,"Less than $45,000"
32,0.45,0.57,2,134,3,0,1,0,hr,low,"Less than $45,000"
33,0.4,0.51,2,145,3,0,1,0,hr,low,"Less than $45,000"
34,0.45,0.55,2,140,3,0,1,0,hr,low,"Less than $45,000"
35,0.84,0.87,4,246,6,0,1,0,hr,low,"Less than $45,000"
36,0.1,0.94,6,255,4,0,1,0,technical,low,"Less than $45,000"
37,0.38,0.46,2,137,3,0,1,0,technical,low,"Less than $45,000"
38,0.45,0.5,2,126,3,0,1,0,technical,low,"Less than $45,000"
39,0.11,0.89,6,306,4,0,1,0,technical,low,"Less than $45,000"
40,0.41,0.54,2,152,3,0,1,0,technical,low,"Less than $45,000"
41,0.87,0.88,5,269,5,0,1,0,technical,low,"Less than $45,000"
42,0.45,0.48,2,158,3,0,1,0,technical,low,"Less than $45,000"
43,0.4,0.46,2,127,3,0,1,0,technical,low,"Less than $45,000"
44,0.1,0.8,7,281,4,0,1,0,technical,low,"Less than $45,000"
45,0.09,0.89,6,276,4,0,1,0,technical,low,"Less than $45,000"
46,0.84,0.74,3,182,4,0,1,0,technical,low,"Less than $45,000"
47,0.4,0.55,2,147,3,0,1,0,support,low,"Less than $45,000"
48,0.57,0.7,3,273,6,0,1,0,support,low,"Less than $45,000"
49,0.4,0.54,2,148,3,0,1,0,support,low,"Less than $45,000"
50,0.43,0.47,2,147,3,0,1,0,support,low,"Less than $45,000"
51,0.13,0.78,6,152,2,0,1,0,support,low,"Less than $45,000"
52,0.44,0.55,2,135,3,0,1,0,support,low,"Less than $45,000"
53,0.38,0.55,2,134,3,0,1,0,support,low,"Less than $45,000"
54,0.39,0.54,2,132,3,0,1,0,support,low,"Less than $45,000"
55,0.1,0.92,7,307,4,0,1,0,support,low,"Less than $45,000"
56,0.37,0.46,2,140,3,0,1,0,support,low,"Less than $45,000"
57,0.11,0.94,7,255,4,0,1,0,support,low,"Less than $45,000"
58,0.1,0.81,6,309,4,0,1,0,technical,low,"Less than $45,000"
59,0.38,0.54,2,128,3,0,1,0,technical,low,"Less than $45,000"
60,0.85,1,4,225,5,0,1,0,technical,low,"Less than $45,000"
61,0.85,0.91,5,226,5,0,1,0,management,medium,"$45,000 - $74,999"
62,0.11,0.93,7,308,4,0,1,0,IT,medium,"$45,000 - $74,999"
63,0.1,0.95,6,244,5,0,1,0,IT,medium,"$45,000 - $74,999"
64,0.36,0.56,2,132,3,0,1,0,IT,medium,"$45,000 - $74,999"
65,0.11,0.94,6,286,4,0,1,0,IT,medium,"$45,000 - $74,999"
66,0.81,0.7,6,161,4,0,1,0,IT,medium,"$45,000 - $74,999"
67,0.43,0.54,2,153,3,0,1,0,product_mng,medium,"$45,000 - $74,999"
68,0.9,0.98,4,264,6,0,1,0,product_mng,medium,"$45,000 - $74,999"
69,0.76,0.86,5,223,5,1,1,0,product_mng,medium,"$45,000 - $74,999"
70,0.43,0.5,2,135,3,0,1,0,product_mng,medium,"$45,000 - $74,999"
71,0.74,0.99,2,277,3,0,1,0,IT,medium,"$45,000 - $74,999"
72,0.09,0.77,5,275,4,0,1,0,product_mng,medium,"$45,000 - $74,999"
73,0.45,0.49,2,149,3,0,1,0,product_mng,high,"Greater than $75,000"
74,0.09,0.87,7,295,4,0,1,0,product_mng,low,"Less than $45,000"
75,0.11,0.97,6,277,4,0,1,0,product_mng,medium,"$45,000 - $74,999"
76,0.11,0.79,7,306,4,0,1,0,product_mng,medium,"$45,000 - $74,999"
77,0.1,0.83,6,295,4,0,1,0,product_mng,medium,"$45,000 - $74,999"
78,0.4,0.54,2,137,3,0,1,0,marketing,medium,"$45,000 - $74,999"
79,0.43,0.56,2,157,3,0,1,0,sales,low,"Less than $45,000"
80,0.39,0.56,2,142,3,0,1,0,accounting,low,"Less than $45,000"
81,0.45,0.54,2,140,3,0,1,0,support,low,"Less than $45,000"
82,0.38,0.49,2,151,3,0,1,0,technical,low,"Less than $45,000"
83,0.79,0.59,4,139,3,0,1,1,management,low,"Less than $45,000"
84,0.84,0.85,4,249,6,0,1,0,marketing,low,"Less than $45,000"
85,0.11,0.77,6,291,4,0,1,0,marketing,low,"Less than $45,000"
86,0.11,0.87,6,305,4,0,1,0,marketing,low,"Less than $45,000"
87,0.17,0.84,5,232,3,0,1,0,sales,low,"Less than $45,000"
88,0.44,0.45,2,132,3,0,1,0,sales,low,"Less than $45,000"
89,0.37,0.57,2,130,3,0,1,0,sales,low,"Less than $45,000"
90,0.1,0.79,6,291,4,0,1,0,sales,low,"Less than $45,000"
91,0.4,0.5,2,130,3,0,1,0,sales,low,"Less than $45,000"
92,0.89,1,5,246,5,0,1,0,sales,low,"Less than $45,000"
93,0.42,0.48,2,143,3,0,1,0,sales,low,"Less than $45,000"
94,0.46,0.55,2,129,3,0,1,0,sales,low,"Less than $45,000"
95,0.09,0.83,6,255,4,0,1,0,sales,low,"Less than $45,000"
96,0.37,0.51,2,155,3,0,1,0,sales,low,"Less than $45,000"
97,0.1,0.77,6,265,4,0,1,0,sales,low,"Less than $45,000"
98,0.1,0.84,6,279,4,0,1,0,sales,low,"Less than $45,000"
99,0.11,0.97,6,284,4,0,1,0,sales,low,"Less than $45,000"
100,0.9,1,5,221,6,0,1,0,sales,medium,"$45,000 - $74,999"
101,0.38,0.52,2,154,3,0,1,0,sales,medium,"$45,000 - $74,999"
102,0.36,0.52,2,147,3,0,1,0,sales,medium,"$45,000 - $74,999"
103,0.42,0.46,2,150,3,0,1,0,sales,medium,"$45,000 - $74,999"
104,0.09,0.94,7,267,4,0,1,0,sales,medium,"$45,000 - $74,999"
105,0.43,0.52,2,158,3,0,1,0,sales,medium,"$45,000 - $74,999"
106,0.24,0.46,7,224,5,0,1,0,accounting,medium,"$45,000 - $74,999"
107,0.91,1,4,257,5,0,1,0,accounting,medium,"$45,000 - $74,999"
108,0.44,0.5,2,148,3,0,1,0,accounting,medium,"$45,000 - $74,999"
109,0.71,0.87,3,177,4,0,1,0,hr,medium,"$45,000 - $74,999"
110,0.4,0.49,2,155,3,0,1,0,hr,medium,"$45,000 - $74,999"
111,0.43,0.47,2,144,3,0,1,0,hr,medium,"$45,000 - $74,999"
112,0.09,0.85,6,289,4,0,1,0,hr,high,"Greater than $75,000"
113,0.43,0.52,2,160,3,0,1,0,technical,low,"Less than $45,000"
114,0.9,0.96,4,258,5,0,1,0,technical,medium,"$45,000 - $74,999"
115,0.84,1,5,234,5,0,1,0,technical,medium,"$45,000 - $74,999"
116,0.37,0.48,2,137,3,0,1,0,technical,medium,"$45,000 - $74,999"
117,0.86,0.68,5,263,2,0,1,0,technical,medium,"$45,000 - $74,999"
118,0.11,0.84,6,251,4,0,1,0,technical,low,"Less than $45,000"
119,0.37,0.57,2,133,3,0,1,0,technical,low,"Less than $45,000"
120,0.4,0.46,2,132,3,0,1,0,technical,low,"Less than $45,000"
121,0.14,0.62,4,158,4,1,1,0,technical,low,"Less than $45,000"
122,0.4,0.46,2,135,3,0,1,0,technical,low,"Less than $45,000"
123,0.75,1,4,216,6,0,1,0,technical,low,"Less than $45,000"
124,0.11,0.84,6,300,5,1,1,0,support,low,"Less than $45,000"
125,0.46,0.49,2,138,3,0,1,0,support,low,"Less than $45,000"
126,0.11,0.92,6,260,4,0,1,0,support,low,"Less than $45,000"
127,0.38,0.49,2,132,3,0,1,0,support,low,"Less than $45,000"
128,0.7,0.89,3,183,5,0,1,0,support,low,"Less than $45,000"
129,0.09,0.82,6,250,4,0,1,0,support,low,"Less than $45,000"
130,0.37,0.45,2,151,3,0,1,0,support,low,"Less than $45,000"
131,0.1,0.83,6,292,4,0,1,0,support,low,"Less than $45,000"
132,0.38,0.57,2,140,3,0,1,0,support,low,"Less than $45,000"
133,0.9,1,5,221,5,0,1,0,support,low,"Less than $45,000"
134,0.44,0.51,2,138,3,0,1,0,support,low,"Less than $45,000"
135,0.36,0.5,2,132,3,0,1,0,technical,low,"Less than $45,000"
136,0.31,0.84,7,133,5,0,1,0,technical,low,"Less than $45,000"
137,0.1,0.84,6,283,4,1,1,0,technical,low,"Less than $45,000"
138,0.42,0.48,2,129,3,0,1,0,management,low,"Less than $45,000"
139,0.74,1,4,249,5,0,1,0,IT,low,"Less than $45,000"
140,0.73,0.87,5,257,5,0,1,0,IT,low,"Less than $45,000"
141,0.09,0.96,6,245,4,0,1,0,IT,low,"Less than $45,000"
142,0.45,0.53,2,155,3,0,1,0,IT,low,"Less than $45,000"
143,0.11,0.8,6,256,4,0,1,0,IT,low,"Less than $45,000"
144,0.37,0.47,2,152,3,0,1,0,product_mng,low,"Less than $45,000"
145,0.84,0.99,4,267,5,0,1,0,product_mng,low,"Less than $45,000"
146,0.41,0.46,2,151,3,0,1,0,product_mng,low,"Less than $45,000"
147,0.76,0.92,4,239,5,0,1,0,product_mng,low,"Less than $45,000"
148,0.11,0.87,6,306,4,0,1,0,IT,low,"Less than $45,000"
149,0.84,0.88,4,263,5,1,1,0,marketing,low,"Less than $45,000"
150,0.39,0.5,2,147,3,0,1,0,marketing,low,"Less than $45,000"
151,0.11,0.91,6,278,4,0,1,0,marketing,low,"Less than $45,000"
152,0.45,0.56,2,154,3,0,1,0,marketing,low,"Less than $45,000"
153,0.37,0.52,2,143,3,0,1,0,marketing,low,"Less than $45,000"
154,0.4,0.52,2,155,3,0,1,0,marketing,low,"Less than $45,000"
155,0.39,0.48,2,160,3,0,1,0,sales,low,"Less than $45,000"
156,0.11,0.8,6,304,4,0,1,0,accounting,low,"Less than $45,000"
157,0.83,1,5,240,5,0,1,0,support,low,"Less than $45,000"
158,0.11,0.92,6,305,4,0,1,0,technical,low,"Less than $45,000"
159,0.39,0.5,2,136,3,0,1,0,management,low,"Less than $45,000"
160,0.45,0.45,2,132,3,0,1,0,marketing,low,"Less than $45,000"
161,0.1,0.95,7,301,4,0,1,0,marketing,low,"Less than $45,000"
162,0.9,0.98,5,243,6,0,1,0,marketing,low,"Less than $45,000"
163,0.45,0.51,2,147,3,0,1,0,sales,low,"Less than $45,000"
164,0.79,0.89,5,239,5,0,1,0,sales,low,"Less than $45,000"
165,0.9,0.99,5,260,5,0,1,0,sales,low,"Less than $45,000"
166,0.11,0.84,7,296,4,0,1,0,sales,low,"Less than $45,000"
167,0.43,0.55,2,129,3,0,1,0,sales,low,"Less than $45,000"
168,0.31,0.54,5,132,5,0,1,0,sales,low,"Less than $45,000"
169,0.32,0.5,2,135,5,0,1,0,sales,low,"Less than $45,000"
170,0.45,0.57,2,158,3,0,1,0,sales,low,"Less than $45,000"
171,0.81,0.99,4,259,5,0,1,0,sales,low,"Less than $45,000"
172,0.41,0.46,2,160,3,0,1,1,sales,low,"Less than $45,000"
173,0.11,0.78,7,278,4,0,1,0,sales,low,"Less than $45,000"
174,0.1,0.88,6,284,4,0,1,0,sales,low,"Less than $45,000"
175,0.7,0.53,2,274,4,0,1,0,sales,low,"Less than $45,000"
176,0.54,0.74,4,164,2,0,1,0,sales,low,"Less than $45,000"
177,0.41,0.48,2,148,3,0,1,0,sales,low,"Less than $45,000"
178,0.38,0.5,2,140,3,0,1,0,sales,medium,"$45,000 - $74,999"
179,0.37,0.51,2,127,3,0,1,0,sales,medium,"$45,000 - $74,999"
180,0.11,0.85,6,308,5,0,1,0,sales,medium,"$45,000 - $74,999"
181,0.4,0.47,2,146,3,0,1,0,sales,medium,"$45,000 - $74,999"
182,0.1,0.84,6,261,4,0,1,0,accounting,medium,"$45,000 - $74,999"
183,0.89,0.99,5,257,5,0,1,0,accounting,medium,"$45,000 - $74,999"
184,0.11,0.8,6,285,4,0,1,0,accounting,medium,"$45,000 - $74,999"
185,0.36,0.55,2,141,3,0,1,0,hr,medium,"$45,000 - $74,999"
186,0.4,0.46,2,127,3,0,1,0,hr,medium,"$45,000 - $74,999"
187,0.09,0.85,6,297,4,0,1,0,hr,medium,"$45,000 - $74,999"
188,0.4,0.46,2,143,3,0,1,0,hr,medium,"$45,000 - $74,999"
189,0.37,0.55,2,152,3,0,1,0,technical,medium,"$45,000 - $74,999"
190,0.44,0.51,2,156,3,0,1,0,technical,high,"Greater than $75,000"
191,0.09,0.8,7,283,5,0,1,0,technical,low,"Less than $45,000"
192,0.92,0.87,4,226,6,1,1,0,technical,medium,"$45,000 - $74,999"
193,0.74,0.91,4,232,5,0,1,0,technical,medium,"$45,000 - $74,999"
194,0.09,0.82,6,249,4,0,1,0,technical,medium,"$45,000 - $74,999"
195,0.89,0.95,4,275,5,0,1,0,technical,medium,"$45,000 - $74,999"
196,0.09,0.8,6,304,4,0,1,0,technical,low,"Less than $45,000"
197,0.27,0.54,7,278,3,0,1,0,technical,low,"Less than $45,000"
198,0.1,0.91,6,287,4,0,1,0,technical,low,"Less than $45,000"
199,0.1,0.89,7,285,4,0,1,0,technical,low,"Less than $45,000"
200,0.77,0.94,5,226,6,0,1,0,support,low,"Less than $45,000"
201,0.9,0.82,5,259,5,0,1,0,support,low,"Less than $45,000"
202,0.39,0.5,2,135,3,0,1,0,support,low,"Less than $45,000"
203,0.76,1,5,219,5,0,1,0,support,low,"Less than $45,000"
204,0.1,0.93,6,256,4,0,1,0,support,low,"Less than $45,000"
205,0.87,0.9,5,254,6,0,1,0,support,low,"Less than $45,000"
206,0.38,0.5,2,153,3,0,1,0,support,low,"Less than $45,000"
207,0.77,0.99,5,228,5,0,1,0,support,low,"Less than $45,000"
208,0.78,0.87,4,228,5,0,1,0,support,low,"Less than $45,000"
209,0.44,0.5,2,128,3,0,1,0,support,low,"Less than $45,000"
210,0.38,0.52,2,153,3,0,1,0,support,low,"Less than $45,000"
211,0.43,0.46,2,156,3,0,1,0,technical,low,"Less than $45,000"
212,0.39,0.5,4,294,3,0,1,0,technical,low,"Less than $45,000"
213,0.88,1,5,219,5,0,1,0,technical,low,"Less than $45,000"
214,0.45,0.46,2,153,3,0,1,0,management,low,"Less than $45,000"
215,0.4,0.53,2,151,3,0,1,0,IT,low,"Less than $45,000"
216,0.36,0.51,2,155,3,0,1,0,IT,low,"Less than $45,000"
217,0.36,0.48,2,158,3,0,1,0,IT,low,"Less than $45,000"
218,0.9,0.98,5,245,5,0,1,0,IT,low,"Less than $45,000"
219,0.43,0.53,2,131,3,0,1,0,IT,low,"Less than $45,000"
220,0.89,0.87,5,225,5,0,1,0,product_mng,low,"Less than $45,000"
221,0.1,0.84,6,286,4,0,1,0,product_mng,low,"Less than $45,000"
222,0.37,0.5,2,135,3,0,1,0,product_mng,low,"Less than $45,000"
223,0.37,0.51,2,153,3,0,1,0,product_mng,low,"Less than $45,000"
224,0.87,0.9,5,252,5,0,1,0,IT,low,"Less than $45,000"
225,0.4,0.56,2,149,3,0,1,0,accounting,low,"Less than $45,000"
226,0.9,0.97,4,258,5,0,1,0,accounting,low,"Less than $45,000"
227,0.37,0.46,2,158,3,0,1,0,hr,low,"Less than $45,000"
228,0.44,0.54,2,149,3,0,1,0,hr,low,"Less than $45,000"
229,0.85,0.95,5,236,5,0,1,0,hr,low,"Less than $45,000"
230,0.78,0.98,5,239,6,0,1,0,marketing,low,"Less than $45,000"
231,0.42,0.47,2,159,3,0,1,0,marketing,low,"Less than $45,000"
232,0.92,0.99,5,255,6,0,1,0,sales,low,"Less than $45,000"
233,0.11,0.83,6,244,4,0,1,0,accounting,low,"Less than $45,000"
234,0.42,0.56,2,134,3,0,1,0,support,low,"Less than $45,000"
235,0.48,0.57,4,270,4,0,1,0,technical,low,"Less than $45,000"
236,0.83,0.85,4,255,5,0,1,0,management,low,"Less than $45,000"
237,0.4,0.53,2,151,3,0,1,0,marketing,low,"Less than $45,000"
238,0.43,0.45,2,135,3,0,1,0,marketing,low,"Less than $45,000"
239,0.43,0.53,2,146,3,0,1,0,marketing,low,"Less than $45,000"
240,0.1,0.97,7,254,4,0,1,0,sales,low,"Less than $45,000"
241,0.1,0.87,7,289,4,0,1,0,sales,low,"Less than $45,000"
242,0.37,0.46,2,156,3,0,1,0,sales,low,"Less than $45,000"
243,0.38,0.53,2,156,3,0,1,0,sales,low,"Less than $45,000"
244,0.4,0.5,2,128,3,0,1,0,sales,low,"Less than $45,000"
245,0.89,0.86,5,275,5,0,1,0,sales,low,"Less than $45,000"
246,0.45,0.46,2,155,3,0,1,0,sales,low,"Less than $45,000"
247,0.37,0.48,2,159,3,0,1,0,sales,low,"Less than $45,000"
248,0.46,0.49,2,148,3,0,1,0,sales,low,"Less than $45,000"
249,0.87,0.91,4,228,5,0,1,0,sales,low,"Less than $45,000"
250,0.11,0.84,6,298,4,0,1,0,sales,low,"Less than $45,000"
251,0.79,0.87,5,261,5,0,1,0,sales,low,"Less than $45,000"
252,0.79,0.92,5,254,6,0,1,0,sales,low,"Less than $45,000"
253,0.19,0.59,7,192,3,0,1,0,sales,low,"Less than $45,000"
254,0.87,0.98,4,248,5,0,1,0,sales,low,"Less than $45,000"
255,0.6,0.92,2,258,5,0,1,0,sales,low,"Less than $45,000"
256,0.44,0.45,2,156,3,0,1,0,sales,medium,"$45,000 - $74,999"
257,0.11,0.81,6,266,4,1,1,0,sales,medium,"$45,000 - $74,999"
258,0.42,0.54,2,156,3,0,1,0,sales,medium,"$45,000 - $74,999"
259,0.88,0.88,5,232,5,1,1,0,accounting,medium,"$45,000 - $74,999"
260,0.11,0.84,6,287,4,0,1,0,accounting,medium,"$45,000 - $74,999"
261,0.46,0.46,2,154,3,0,1,0,accounting,medium,"$45,000 - $74,999"
262,0.82,0.97,5,263,5,0,1,0,hr,medium,"$45,000 - $74,999"
263,0.44,0.56,2,131,3,0,1,0,hr,medium,"$45,000 - $74,999"
264,0.11,0.78,6,260,4,0,1,0,hr,medium,"$45,000 - $74,999"
265,0.42,0.5,2,139,3,0,1,0,hr,medium,"$45,000 - $74,999"
266,0.84,0.93,4,251,5,0,1,0,technical,medium,"$45,000 - $74,999"
267,0.11,0.95,6,286,4,0,1,0,technical,medium,"$45,000 - $74,999"
268,0.45,0.53,2,129,3,0,1,0,technical,high,"Greater than $75,000"
269,0.38,0.56,2,156,3,0,1,0,technical,low,"Less than $45,000"
270,0.38,0.86,6,139,6,0,1,0,technical,medium,"$45,000 - $74,999"
271,0.44,0.51,2,127,3,0,1,0,technical,medium,"$45,000 - $74,999"
272,0.11,0.84,6,251,4,0,1,0,technical,medium,"$45,000 - $74,999"
273,0.81,0.93,5,270,5,0,1,0,technical,medium,"$45,000 - $74,999"
274,0.09,0.96,6,296,4,0,1,0,technical,low,"Less than $45,000"
275,0.11,0.9,6,254,4,0,1,0,technical,low,"Less than $45,000"
276,0.81,0.95,5,238,6,0,1,0,technical,low,"Less than $45,000"
277,0.1,0.97,6,267,4,1,1,0,support,low,"Less than $45,000"
278,0.74,0.89,5,229,6,0,1,0,support,low,"Less than $45,000"
279,0.09,0.78,6,254,4,0,1,0,support,low,"Less than $45,000"
280,0.82,0.81,4,233,4,1,1,0,support,low,"Less than $45,000"
281,0.1,0.98,6,268,4,0,1,0,support,low,"Less than $45,000"
282,0.27,0.56,3,301,3,0,1,0,support,low,"Less than $45,000"
283,0.83,0.92,5,267,6,0,1,0,support,low,"Less than $45,000"
284,0.1,0.93,6,289,4,1,1,0,support,low,"Less than $45,000"
285,0.38,0.47,2,144,3,0,1,0,support,low,"Less than $45,000"
286,0.4,0.56,2,148,3,0,1,0,support,low,"Less than $45,000"
287,0.11,0.83,6,306,4,0,1,0,support,low,"Less than $45,000"
288,0.11,0.79,6,292,4,0,1,1,technical,low,"Less than $45,000"
289,0.82,0.91,5,232,5,0,1,0,technical,low,"Less than $45,000"
290,0.36,0.48,2,137,3,0,1,0,technical,low,"Less than $45,000"
291,0.4,0.46,2,128,3,0,1,0,management,low,"Less than $45,000"
292,0.87,0.84,5,231,5,0,1,0,IT,low,"Less than $45,000"
293,0.41,0.49,2,146,3,0,1,0,IT,low,"Less than $45,000"
294,0.11,0.91,6,308,4,1,1,0,IT,low,"Less than $45,000"
295,0.1,0.93,6,253,4,0,1,0,IT,medium,"$45,000 - $74,999"
296,0.38,0.51,2,146,3,0,1,0,IT,medium,"$45,000 - $74,999"
297,0.39,0.55,2,156,3,0,1,0,product_mng,medium,"$45,000 - $74,999"
298,0.4,0.52,2,147,3,0,1,0,product_mng,medium,"$45,000 - $74,999"
299,0.45,0.48,2,136,3,0,1,0,product_mng,medium,"$45,000 - $74,999"
300,0.74,0.84,5,249,5,0,1,0,product_mng,medium,"$45,000 - $74,999"
301,0.45,0.55,2,151,3,0,1,0,IT,medium,"$45,000 - $74,999"
302,0.12,1,3,278,4,0,1,0,RandD,medium,"$45,000 - $74,999"
303,0.1,0.77,7,250,5,0,1,0,RandD,medium,"$45,000 - $74,999"
304,0.37,0.55,2,127,3,0,1,0,RandD,medium,"$45,000 - $74,999"
305,0.89,0.87,5,255,5,0,1,0,RandD,medium,"$45,000 - $74,999"
306,0.45,0.47,2,135,3,0,1,0,RandD,medium,"$45,000 - $74,999"
307,0.37,0.46,2,149,3,0,1,0,marketing,high,"Greater than $75,000"
308,0.11,0.81,5,287,4,0,1,0,sales,low,"Less than $45,000"
309,0.41,0.48,2,145,3,0,1,0,accounting,medium,"$45,000 - $74,999"
310,0.1,0.94,6,285,4,0,1,0,support,medium,"$45,000 - $74,999"
311,0.1,0.93,7,305,4,0,1,0,technical,medium,"$45,000 - $74,999"
312,0.11,0.95,7,300,4,0,1,0,management,medium,"$45,000 - $74,999"
313,0.4,0.54,2,139,3,0,1,0,marketing,low,"Less than $45,000"
314,0.41,0.49,2,130,3,0,1,0,marketing,low,"Less than $45,000"
315,0.1,0.81,6,268,4,0,1,0,marketing,low,"Less than $45,000"
316,0.73,0.86,4,245,6,0,1,0,sales,low,"Less than $45,000"
317,0.43,0.47,2,135,3,0,1,0,sales,low,"Less than $45,000"
318,0.37,0.46,2,153,3,0,1,0,sales,low,"Less than $45,000"
319,0.11,0.94,6,276,4,0,1,0,sales,low,"Less than $45,000"
320,0.4,0.46,2,130,3,0,1,0,sales,low,"Less than $45,000"
321,0.41,0.54,2,153,3,1,1,0,sales,low,"Less than $45,000"
322,0.82,0.84,5,244,5,0,1,0,sales,low,"Less than $45,000"
323,0.61,0.47,2,253,3,0,1,0,sales,low,"Less than $45,000"
324,0.11,0.91,7,287,4,0,1,0,sales,low,"Less than $45,000"
325,0.37,0.45,2,131,3,0,1,0,sales,low,"Less than $45,000"
326,0.41,0.52,2,135,3,0,1,0,sales,low,"Less than $45,000"
327,0.37,0.52,2,157,3,0,1,0,sales,low,"Less than $45,000"
328,0.88,0.99,5,262,6,0,1,0,sales,low,"Less than $45,000"
329,0.1,0.85,6,266,4,0,1,0,sales,low,"Less than $45,000"
330,0.44,0.48,2,148,3,0,1,0,sales,low,"Less than $45,000"
331,0.38,0.57,2,140,3,0,1,0,sales,low,"Less than $45,000"
332,0.11,0.85,7,302,4,0,1,0,sales,low,"Less than $45,000"
333,0.09,0.98,6,271,4,0,1,0,sales,low,"Less than $45,000"
334,0.45,0.52,2,145,3,0,1,0,sales,medium,"$45,000 - $74,999"
335,0.1,0.81,6,290,4,0,1,0,accounting,medium,"$45,000 - $74,999"
336,0.45,0.47,2,151,3,0,1,0,accounting,medium,"$45,000 - $74,999"
337,0.77,0.87,5,266,5,0,1,0,accounting,medium,"$45,000 - $74,999"
338,0.44,0.51,2,140,3,0,1,0,hr,medium,"$45,000 - $74,999"
339,0.39,0.5,2,142,3,0,1,0,hr,medium,"$45,000 - $74,999"
340,0.1,0.91,6,246,4,0,1,0,hr,medium,"$45,000 - $74,999"
341,0.09,0.89,7,308,5,0,1,0,hr,medium,"$45,000 - $74,999"
342,0.37,0.47,2,141,3,0,1,0,technical,medium,"$45,000 - $74,999"
343,0.9,1,5,232,5,0,1,0,technical,medium,"$45,000 - $74,999"
344,0.41,0.56,2,143,3,0,1,0,technical,medium,"$45,000 - $74,999"
345,0.37,0.52,2,155,3,0,1,0,technical,medium,"$45,000 - $74,999"
346,0.1,0.86,6,278,4,0,1,0,technical,high,"Greater than $75,000"
347,0.81,1,4,253,5,0,1,0,technical,low,"Less than $45,000"
348,0.11,0.8,6,282,4,0,1,0,technical,medium,"$45,000 - $74,999"
349,0.11,0.84,7,264,4,0,1,0,technical,medium,"$45,000 - $74,999"
350,0.4,0.46,2,149,3,0,1,0,technical,medium,"$45,000 - $74,999"
351,0.09,0.8,6,304,5,0,1,0,technical,medium,"$45,000 - $74,999"
352,0.48,0.93,3,219,6,0,1,0,technical,low,"Less than $45,000"
353,0.91,0.91,4,262,6,0,1,0,support,low,"Less than $45,000"
354,0.43,0.57,2,135,3,0,1,0,support,low,"Less than $45,000"
355,0.33,0.88,6,219,5,0,1,0,support,low,"Less than $45,000"
356,0.41,0.57,2,136,3,0,1,0,support,low,"Less than $45,000"
357,0.41,0.55,2,154,3,0,1,0,support,low,"Less than $45,000"
358,0.37,0.54,2,149,3,0,1,0,support,low,"Less than $45,000"
359,0.31,0.62,6,135,5,0,1,0,support,low,"Less than $45,000"
360,0.09,0.91,6,275,4,0,1,0,support,low,"Less than $45,000"
361,0.1,0.87,6,290,4,0,1,0,support,low,"Less than $45,000"
362,0.76,0.9,4,263,5,0,1,0,support,low,"Less than $45,000"
363,0.41,0.54,2,145,3,0,1,0,support,low,"Less than $45,000"
